lote,tiempo_h,estrategia,particion,penicilina_g_l,aireacion,azucar_l_h,acido_l_h,base_l_h,refrigeracion_l_h,calefaccion_l_h,agua_l_h,presion_bar,extraccion_l_h,oxigeno_disuelto_mg_l,volumen_l,peso_kg,ph,temperatura_c,co2_gas,paa_alimentacion_l_h,aceite_l_h,o2_gas
1,5.6,Receta,Prueba normal,0.00098597,30,15,0.0,19.592,51.046,0.0001,0,0.6,0,13.875,58525,62757.0,6.4792,24.939999999999998,0.1896,0.0,30,0.20015
1,5.8,Receta,Prueba normal,0.0009854,30,15,0.0,28.416,55.68,0.0001,0,0.6,0,13.83,58528,62767.0,6.4876,24.939999999999998,0.19475,0.0,30,0.19981
1,6.0,Receta,Prueba normal,0.00098481,30,15,0.0,33.855,58.835,0.0001,0,0.6,0,13.797,58533,62778.0,6.5015,24.930000000000007,0.20005,0.0,30,0.19958
1,6.2,Receta,Prueba normal,0.00098423,30,15,0.0,33.741,60.978,0.0001,0,0.6,0,13.745,58537,62789.0,6.5145,24.930000000000007,0.20552,0.0,30,0.19925
1,6.4,Receta,Prueba normal,0.00098366,30,15,0.0,28.466,63.885,0.0001,0,0.6,0,13.692,58540,62798.0,6.5194,24.939999999999998,0.21118,0.0,30,0.19888
1,6.6,Receta,Prueba normal,0.00098312,30,15,0.0,21.244,68.83,0.0001,0,0.6,0,13.648,58542,62806.0,6.5144,24.939999999999998,0.21701,0.0,30,0.19858
1,6.8,Receta,Prueba normal,0.00098259,30,15,0.0,16.017,71.138,0.0001,0,0.6,0,13.596,58543,62814.0,6.5012,24.939999999999998,0.22303,0.0,30,0.19825
1,7.0,Receta,Prueba normal,0.00098207,30,15,0.0,16.096,74.318,0.0001,0,0.6,0,13.527,58544,62821.0,6.4886,24.930000000000007,0.22924,0.0,30,0.19776
1,7.2,Receta,Prueba normal,0.00098153,30,15,0.0,21.177,77.207,0.0001,0,0.6,0,13.455,58546,62829.0,6.482,24.930000000000007,0.23564,0.0,30,0.19722
1,7.4,Receta,Prueba normal,0.00098096,30,15,0.0,28.898,79.407,0.0001,0,0.6,0,13.401,58549,62839.0,6.4855,24.930000000000007,0.24224,0.0,30,0.1968
1,7.6,Receta,Prueba normal,0.00098037,30,15,0.0,35.196,80.716,0.0001,0,0.6,0,13.333,58554,62850.0,6.4951,24.930000000000007,0.24903,0.0,30,0.19633
1,7.8,Receta,Prueba normal,0.00097977,30,15,0.0,37.665,84.863,0.0001,0,0.6,0,13.276,58559,62861.0,6.5054,24.930000000000007,0.25603,0.0,30,0.19593
1,8.0,Receta,Prueba normal,0.00097918,30,15,0.0,36.02,89.084,0.0001,0,0.6,0,13.222,58564,62872.0,6.5128,24.939999999999998,0.26324,0.0,30,0.1956
1,8.2,Receta,Prueba normal,0.00097861,42,15,0.0,31.438,93.552,0.0001,0,0.6,0,13.331,58568,62883.0,6.5144,24.939999999999998,0.21112,0.0,30,0.19862
1,8.4,Receta,Prueba normal,0.00097805,42,15,0.0,26.22,99.157,0.0001,0,0.6,0,13.254,58571,62892.0,6.5086,24.950000000000045,0.21015,0.0,30,0.19871
1,8.6,Receta,Prueba normal,0.00097751,42,15,0.0,23.338,103.53,0.0001,0,0.6,0,13.191,58573,62900.0,6.4976,24.950000000000045,0.21507,0.0,30,0.19846
1,8.8,Receta,Prueba normal,0.00097695,42,15,0.0,24.852,108.05,0.0001,0,0.6,0,13.112,58576,62909.0,6.488,24.960000000000036,0.22089,0.0,30,0.19806
1,9.0,Receta,Prueba normal,0.00097638,42,15,0.0,30.166,115.26,0.0001,0,0.6,0,13.049,58580,62919.0,6.4845,24.970000000000027,0.22698,0.0,30,0.19777
1,9.2,Receta,Prueba normal,0.00097579,42,15,0.0,36.871,121.62,0.0001,0,0.6,0,12.975,58585,62931.0,6.4847,24.970000000000027,0.2333,0.0,30,0.19743
1,9.4,Receta,Prueba normal,0.00097518,42,15,0.0,43.504,128.22,0.0001,0,0.6,0,12.919,58591,62943.0,6.4889,24.980000000000018,0.23979,0.0,30,0.19717
1,9.6,Receta,Prueba normal,0.00097454,42,15,0.0,48.433,134.57,0.0001,0,0.6,0,12.842,58598,62957.0,6.4957,24.99000000000001,0.24647,0.0,30,0.19678
1,9.8,Receta,Prueba normal,0.00097391,42,15,0.0,50.664,143.48,0.0001,0,0.6,0,12.776,58606,62971.0,6.5042,25.0,0.25333,0.0,30,0.19649
1,10.0,Receta,Prueba normal,0.00097327,42,15,0.0,49.499,151.16,0.0001,0,0.6,0,12.693,58613,62985.0,6.5089,25.0,0.2604,0.0,30,0.19608
1,10.2,Receta,Prueba normal,0.00097265,42,15,0.0,46.488,157.91,0.0001,0,0.6,0,12.601,58620,62998.0,6.5082,25.0,0.26768,0.0,30,0.19561
1,10.4,Receta,Prueba normal,0.00097204,42,15,0.0,43.731,163.22,0.0001,0,0.6,0,12.516,58627,63011.0,6.5039,25.0,0.27519,0.0,30,0.19521
1,10.6,Receta,Prueba normal,0.00097143,42,15,0.0,42.712,167.59,0.0001,0,0.6,0,12.41,58633,63023.0,6.498,24.99000000000001,0.28295,0.0,30,0.19467
1,10.8,Receta,Prueba normal,0.00097082,42,15,0.0,44.043,172.39,0.0001,0,0.6,0,12.309,58639,63036.0,6.4931,24.99000000000001,0.29098,0.0,30,0.19417
1,11.0,Receta,Prueba normal,0.00097019,42,15,0.0,47.308,176.35,0.0001,0,0.6,0,12.221,58646,63049.0,6.4917,24.99000000000001,0.29925,0.0,30,0.19374
1,11.2,Receta,Prueba normal,0.00096956,42,15,0.0,51.125,181.67,0.0001,0,0.6,0,12.132,58654,63063.0,6.4931,24.970000000000027,0.30775,0.0,30,0.19332
1,11.4,Receta,Prueba normal,0.00096891,42,15,0.0,54.39,178.37,0.0001,0,0.6,0,12.033,58663,63078.0,6.4942,24.930000000000007,0.31649,0.0,30,0.19284
1,11.6,Receta,Prueba normal,0.00096826,42,15,0.0,57.231,170.14,0.0001,0,0.6,0,11.92,58672,63094.0,6.495,24.920000000000016,0.3255,0.0,30,0.19229
1,11.8,Receta,Prueba normal,0.0009676,42,15,0.0,59.744,169.27,0.0001,0,0.6,0,11.855,58681,63109.0,6.4968,24.910000000000025,0.33475,0.0,30,0.19199
1,12.0,Receta,Prueba normal,0.00096693,42,15,0.0,61.535,168.15,0.0001,0,0.6,0,11.835,58691,63126.0,6.5002,24.890000000000043,0.34413,0.0,30,0.19184
1,12.2,Receta,Prueba normal,0.00096622,42,30,0.0,61.979,163.16,0.0001,0,0.6,0,11.966,58704,63146.0,6.5075,24.879999999999995,0.35344,0.0,30,0.19219
1,12.4,Receta,Prueba normal,0.00096551,42,30,0.0,59.487,163.22,0.0001,0,0.6,0,12.564,58717,63166.0,6.5259,24.82000000000005,0.36193,0.0,30,0.19434
1,12.6,Receta,Prueba normal,0.00096484,42,30,0.0,49.612,144.79,0.0001,0,0.7,0,13.538,58728,63183.0,6.5442,24.75,0.36878,0.0,30,0.19632
1,12.8,Receta,Prueba normal,0.00096422,42,30,0.0,32.44,43.436,171.31,0,0.7,0,13.51,58735,63198.0,6.5424,25.420000000000016,0.37509,0.0,30,0.19668
1,13.0,Receta,Prueba normal,0.00096365,42,30,0.0,16.067,271.75,17.131,0,0.7,0,13.478,58738,63208.0,6.5188,25.189999999999998,0.38133,0.0,30,0.19661
1,13.2,Receta,Prueba normal,0.00096311,42,30,0.0,9.1289,207.61,1.7131,0,0.7,0,13.456,58741,63218.0,6.4876,25.02000000000004,0.38754,0.0,30,0.19651
1,13.4,Receta,Prueba normal,0.00096254,42,30,0.0,14.632,164.98,0.17131,0,0.7,0,13.435,58744,63229.0,6.4656,24.920000000000016,0.39373,0.0,30,0.19641
1,13.6,Receta,Prueba normal,0.00096194,42,30,0.0,28.896,137.52,0.017131,0,0.7,0,13.412,58751,63242.0,6.4611,24.850000000000023,0.39991,0.0,30,0.19633
1,13.8,Receta,Prueba normal,0.00096128,42,30,0.0,44.921,116.5,0.0017131,0,0.7,0,13.391,58760,63259.0,6.4736,24.80000000000001,0.4061,0.0,30,0.19625
1,14.0,Receta,Prueba normal,0.00096059,42,30,0.0,55.961,99.992,0.00017131,0,0.7,0,13.394,58772,63278.0,6.4955,24.78000000000003,0.41227,0.0,30,0.19629
1,14.2,Receta,Prueba normal,0.00095989,42,30,0.0,58.23,29.998,106.74,0,0.7,0,13.384,58785,63297.0,6.5191,25.25,0.41838,0.0,30,0.19628
1,14.4,Receta,Prueba normal,0.00095921,42,30,0.0,51.089,187.67,10.674,0,0.7,0,13.364,58795,63315.0,6.5331,25.100000000000023,0.42446,0.0,30,0.19625
1,14.6,Receta,Prueba normal,0.00095857,42,30,0.0,38.386,148.87,1.0674,0,0.7,0,13.33,58804,63331.0,6.5335,25.0,0.43054,0.0,30,0.1961
1,14.8,Receta,Prueba normal,0.00095798,42,30,0.0,25.554,125.26,0.10674,0,0.7,0,13.3,58809,63344.0,6.5197,24.950000000000045,0.43661,0.0,30,0.19597
1,15.0,Receta,Prueba normal,0.00095742,42,30,0.0,18.234,112.34,0.010674,0,0.7,0,13.285,58814,63355.0,6.4993,24.910000000000025,0.44268,0.0,30,0.19598
1,15.2,Receta,Prueba normal,0.00095685,42,30,0.0,19.05,102.93,0.0010674,0,0.7,0,13.262,58818,63367.0,6.4821,24.890000000000043,0.44874,0.0,30,0.19592
1,15.4,Receta,Prueba normal,0.00095625,42,30,0.0,26.733,98.386,0.00010674,0,0.7,0,13.264,58824,63380.0,6.4761,24.870000000000005,0.45479,0.0,30,0.19599
1,15.6,Receta,Prueba normal,0.00095563,42,30,0.0,36.776,94.518,0.0001,0,0.7,0,13.237,58832,63395.0,6.4847,24.860000000000014,0.46085,0.0,30,0.19593
1,15.8,Receta,Prueba normal,0.00095499,42,30,0.0,43.376,90.942,0.0001,0,0.7,0,13.239,58841,63411.0,6.5022,24.850000000000023,0.46689,0.0,30,0.19601
1,16.0,Receta,Prueba normal,0.00095435,42,30,0.0,42.986,89.764,0.0001,0,0.7,0,13.238,58851,63428.0,6.5185,24.840000000000032,0.47289,0.0,30,0.19605
1,16.2,Receta,Prueba normal,0.00095358,42,75,0.0,36.105,86.218,0.0001,0,0.7,0,12.221,58867,63455.0,6.507,24.920000000000016,0.48019,0.0,35,0.19235
1,16.4,Receta,Prueba normal,0.00095282,42,75,0.0,33.93,112.32,0.0001,0,0.7,0,12.149,58884,63482.0,6.488,24.980000000000018,0.48895,0.0,35,0.19107
1,16.6,Receta,Prueba normal,0.00095204,42,75,0.0,39.258,134.15,0.0001,0,0.7,0,12.134,58901,63510.0,6.4785,25.0,0.49798,0.0,35,0.19081
1,16.8,Receta,Prueba normal,0.00095123,42,75,0.0,48.333,146.78,0.0001,0,0.7,0,12.074,58921,63540.0,6.479,25.010000000000048,0.50705,0.0,35,0.19054
1,17.0,Receta,Prueba normal,0.00095039,42,75,0.0,57.203,155.44,0.0001,0,0.7,0,12.057,58942,63571.0,6.4866,25.010000000000048,0.51615,0.0,35,0.19045
1,17.2,Receta,Prueba normal,0.00094954,42,75,0.0,63.043,162.84,0.0001,0,0.7,0,12.025,58964,63604.0,6.4974,25.0,0.52526,0.0,35,0.19039
1,17.4,Receta,Prueba normal,0.00094868,42,75,0.0,64.596,162.59,0.0001,0,0.7,0,11.99,58986,63636.0,6.5072,24.980000000000018,0.53438,0.0,35,0.19025
1,17.6,Receta,Prueba normal,0.00094784,42,75,0.0,62.245,162.13,0.0001,0,0.7,0,11.932,59008,63669.0,6.5135,24.960000000000036,0.54352,0.0,35,0.19
1,17.8,Receta,Prueba normal,0.000947,42,75,0.0,57.377,161.2,0.0001,0,0.7,0,11.901,59029,63700.0,6.5164,24.950000000000045,0.55267,0.0,35,0.18981
1,18.0,Receta,Prueba normal,0.0009462,42,75,0.0,51.333,160.4,0.0001,0,0.7,0,11.87,59049,63731.0,6.5156,24.939999999999998,0.56179,0.0,35,0.1897
1,18.2,Receta,Prueba normal,0.0009454,42,75,0.0,45.631,162.67,0.0001,0,0.7,0,11.818,59068,63760.0,6.5092,24.930000000000007,0.57093,0.0,35,0.18955
1,18.4,Receta,Prueba normal,0.00094462,42,75,0.0,42.505,162.75,0.0001,0,0.7,0,11.795,59086,63788.0,6.4998,24.930000000000007,0.58008,0.0,35,0.18945
1,18.6,Receta,Prueba normal,0.00094384,42,75,0.0,43.102,163.65,0.0001,0,0.7,0,11.761,59104,63817.0,6.4919,24.920000000000016,0.58925,0.0,35,0.18942
1,18.8,Receta,Prueba normal,0.00094305,42,75,0.0,46.877,165.88,0.0001,0,0.7,0,11.773,59123,63846.0,6.4885,24.890000000000043,0.59838,0.0,35,0.1895
1,19.0,Receta,Prueba normal,0.00094224,42,75,0.0,51.989,158.68,0.0001,0,0.7,0,11.75,59143,63876.0,6.4897,24.870000000000005,0.60745,0.0,35,0.18945
1,19.2,Receta,Prueba normal,0.00094142,42,75,0.0,56.609,150.54,0.0001,0,0.7,0,11.704,59164,63907.0,6.4951,24.850000000000023,0.61652,0.0,35,0.18928
1,19.4,Receta,Prueba normal,0.00094059,42,75,0.0,59.09,144.8,0.0001,0,0.7,0,11.689,59186,63939.0,6.5005,24.83000000000004,0.62561,0.0,35,0.18932
1,19.6,Receta,Prueba normal,0.00093977,42,75,0.0,59.411,138.75,0.0001,0,0.7,0,11.643,59207,63971.0,6.5067,24.82000000000005,0.63472,0.0,35,0.18921
1,19.8,Receta,Prueba normal,0.00093895,42,75,0.0,57.243,136.09,0.0001,0,0.7,0,11.569,59228,64002.0,6.5105,24.83000000000004,0.64391,0.0,35,0.18895
1,20.0,Receta,Prueba normal,0.00093814,42,75,0.0,53.583,137.49,0.0001,0,0.7,0,11.561,59249,64033.0,6.512,24.840000000000032,0.65311,0.0,35,0.18889
1,20.2,Receta,Prueba normal,0.00093711,55,150,0.0,49.305,139.32,0.0001,0,0.7,0,10.832,59283,64082.0,6.4901,24.939999999999998,0.52435,0.0,35,0.19009
1,20.4,Receta,Prueba normal,0.00093607,55,150,0.0,53.842,172.8,0.0001,0,0.7,0,10.71,59318,64131.0,6.4707,25.0,0.52569,0.0,35,0.18954
1,20.6,Receta,Prueba normal,0.00093498,55,150,0.0,66.062,197.05,0.0001,0,0.7,0,10.637,59356,64183.0,6.4605,25.04000000000002,0.53502,0.0,35,0.18921
1,20.8,Receta,Prueba normal,0.00093384,55,150,0.0,82.37,217.27,0.0001,0,0.7,0,10.598,59397,64239.0,6.4575,25.04000000000002,0.54488,0.0,35,0.18907
1,21.0,Receta,Prueba normal,0.00093265,55,150,0.0,99.876,222.57,0.0001,0,0.7,0,10.503,59442,64298.0,6.4567,25.03000000000003,0.55486,0.0,35,0.18884
1,21.2,Receta,Prueba normal,0.00093141,55,150,0.0,117.69,225.98,0.0001,0,0.7,0,10.423,59490,64360.0,6.4566,25.03000000000003,0.56499,0.0,35,0.1886
1,21.4,Receta,Prueba normal,0.00093011,55,150,0.0,135.58,233.59,0.0001,0,0.7,0,10.382,59541,64426.0,6.4573,25.0,0.57522,0.0,35,0.18841
1,21.6,Receta,Prueba normal,0.00092876,55,150,0.0,153.19,230.66,0.0001,0,0.7,0,10.308,59597,64496.0,6.4581,24.970000000000027,0.58552,0.0,35,0.18819
1,21.8,Receta,Prueba normal,0.00092736,55,150,0.0,170.48,225.16,0.0001,0,0.7,0,10.22,59655,64570.0,6.4584,24.960000000000036,0.59596,0.0,35,0.18789
1,22.0,Receta,Prueba normal,0.00092591,55,150,0.0,187.64,226.38,0.0001,0,0.7,0,10.158,59717,64647.0,6.4585,24.930000000000007,0.60654,0.0,35,0.18778
1,22.2,Receta,Prueba normal,0.00092441,55,150,0.0,204.76,220.34,0.0001,0,0.7,0,10.121,59783,64727.0,6.4587,24.900000000000034,0.61719,0.0,35,0.18765
1,22.4,Receta,Prueba normal,0.00092287,55,150,0.0,221.81,212.77,0.0001,0,0.7,0,10.143,59852,64811.0,6.46,24.879999999999995,0.62782,0.0,35,0.18775
1,22.6,Receta,Prueba normal,0.00092132,55,150,0.0,225.0,208.05,0.0001,0,0.7,0,10.058,59921,64895.0,6.4606,24.879999999999995,0.63848,0.0,35,0.18754
1,22.8,Receta,Prueba normal,0.00091977,55,150,0.0,225.0,208.4,0.0001,0,0.7,0,10.007,59991,64979.0,6.4609,24.890000000000043,0.64921,0.0,35,0.18739
1,23.0,Receta,Prueba normal,0.00091823,55,150,0.0,225.0,213.06,0.0001,0,0.7,0,9.9447,60060,65064.0,6.4609,24.900000000000034,0.66,0.0,35,0.18727
1,23.2,Receta,Prueba normal,0.00091668,55,150,0.0,225.0,219.16,0.0001,0,0.7,0,9.8749,60130,65149.0,6.4602,24.920000000000016,0.6709,0.0,35,0.18717
1,23.4,Receta,Prueba normal,0.00091515,55,150,0.0,225.0,227.82,0.0001,0,0.7,0,9.887,60199,65233.0,6.4609,24.920000000000016,0.68179,0.0,35,0.18716
1,23.6,Receta,Prueba normal,0.00091362,55,150,0.0,225.0,231.68,0.0001,0,0.7,0,9.889,60269,65317.0,6.4625,24.910000000000025,0.69259,0.0,35,0.1872
1,23.8,Receta,Prueba normal,0.00091209,55,150,0.0,225.0,229.95,0.0001,0,0.7,0,9.8526,60338,65401.0,6.4643,24.900000000000034,0.70333,0.0,35,0.18706
1,24.0,Receta,Prueba normal,0.00091056,55,150,0.0,225.0,226.68,0.0001,0,0.7,0,9.8146,60408,65486.0,6.4661,24.879999999999995,0.71406,0.0,35,0.18692
1,24.2,Receta,Prueba normal,0.015465,55,30,0.0,225.0,223.87,0.0001,0,0.7,0,12.451,60453,65539.0,6.5061,24.629999999999995,0.72098,0.0,35,0.19529
1,24.4,Receta,Prueba normal,0.032763,55,30,0.0,222.96,67.162,339.37,0,0.7,0,12.443,60498,65592.0,6.5442,25.75,0.72538,0.0,35,0.19633
1,24.6,Receta,Prueba normal,0.049979,55,30,0.0,205.79,445.62,33.937,0,0.7,0,12.398,60540,65641.0,6.5779,25.200000000000045,0.72963,0.0,35,0.19627
1,24.8,Receta,Prueba normal,0.067269,55,30,0.51743,102.9,281.61,3.3937,0,0.7,0,12.267,60561,65671.0,6.6036,24.860000000000014,0.73387,0.0,35,0.19585
1,25.0,Receta,Prueba normal,0.08488,55,30,1.0356,51.448,182.83,0.33937,0,0.7,0,12.179,60572,65690.0,6.6095,24.710000000000036,0.7381,0.0,35,0.19547
1,25.2,Receta,Prueba normal,0.10275,55,30,1.556,25.724,54.848,172.32,0,0.8,0,12.982,60578,65703.0,6.5856,25.33000000000004,0.74232,0.0,35,0.19538
1,25.4,Receta,Prueba normal,0.12142,55,30,2.0793,12.862,264.23,17.232,0,0.8,0,12.963,60581,65715.0,6.5439,25.110000000000014,0.74652,0.0,35,0.19544
1,25.6,Receta,Prueba normal,0.14038,55,30,0.0,0.0,201.07,1.7232,0,0.8,0,12.911,60582,65723.0,6.491,24.939999999999998,0.75072,0.0,35,0.19533
1,25.8,Receta,Prueba normal,0.16038,55,30,0.0,4.1396,154.07,0.17232,0,0.8,0,12.931,60583,65732.0,6.4502,24.840000000000032,0.75487,0.0,35,0.19548
1,26.0,Receta,Prueba normal,0.18051,55,30,0.0,24.529,123.79,0.017232,0,0.8,0,12.912,60588,65746.0,6.4389,24.79000000000002,0.75902,0.0,35,0.19543
1,26.2,Receta,Prueba normal,0.20077,55,30,0.0,49.411,37.137,126.56,0,0.8,0,12.926,60599,65764.0,6.4564,25.28000000000003,0.76317,0.0,35,0.19554
1,26.4,Receta,Prueba normal,0.22149,55,30,0.0,67.284,204.9,12.656,0,0.8,0,12.927,60613,65786.0,6.4862,25.150000000000034,0.76729,0.0,35,0.19551
1,26.6,Receta,Prueba normal,0.24241,55,30,0.0,73.288,172.27,1.2656,0,0.8,0,12.925,60628,65809.0,6.5161,25.04000000000002,0.77139,0.0,35,0.19558
1,26.8,Receta,Prueba normal,0.26351,55,30,0.0,67.38,145.54,0.12656,0,0.8,0,12.893,60641,65831.0,6.5404,24.960000000000036,0.77547,0.0,35,0.19543
1,27.0,Receta,Prueba normal,0.28543,55,30,0.0,51.757,126.05,0.012656,0,0.8,0,12.896,60652,65850.0,6.5549,24.900000000000034,0.7795,0.0,35,0.19557
1,27.2,Receta,Prueba normal,0.30762,55,30,0.51926,25.878,112.77,0.0012656,0,0.8,0,12.87,60658,65863.0,6.5397,24.870000000000005,0.78349,0.0,35,0.19565
1,27.4,Receta,Prueba normal,0.3298,55,30,0.0,10.631,104.1,0.00012656,0,0.8,0,12.802,60661,65874.0,6.5036,24.860000000000014,0.78752,0.0,35,0.1955
1,27.6,Receta,Prueba normal,0.35212,55,30,0.0,9.7937,100.85,0.0001,0,0.8,0,12.773,60663,65884.0,6.4696,24.850000000000023,0.79157,0.0,35,0.19543
1,27.8,Receta,Prueba normal,0.37468,55,30,0.0,22.477,99.477,0.0001,0,0.8,0,12.771,60668,65897.0,6.4559,24.850000000000023,0.79565,0.0,35,0.19555
1,28.0,Receta,Prueba normal,0.39754,55,30,0.0,40.582,98.028,0.0001,0,0.8,0,12.778,60677,65914.0,6.4651,24.840000000000032,0.79972,0.0,35,0.19563
1,28.2,Receta,Prueba normal,0.41529,55,37,0.0,54.972,96.435,0.0001,0,0.8,0,12.576,60690,65935.0,6.485,24.860000000000014,0.80412,0.0,35,0.19513
1,28.4,Receta,Prueba normal,0.43233,55,37,0.0,61.453,100.13,0.0001,0,0.8,0,12.541,60704,65958.0,6.5076,24.870000000000005,0.80874,0.0,35,0.19497
1,28.6,Receta,Prueba normal,0.44924,55,37,0.0,58.922,104.41,0.0001,0,0.8,0,12.508,60717,65980.0,6.5267,24.879999999999995,0.81341,0.0,35,0.19491
1,28.8,Receta,Prueba normal,0.46686,55,37,0.0,48.79,109.25,0.0001,0,0.8,0,12.493,60729,66000.0,6.5376,24.879999999999995,0.81806,0.0,35,0.19493
1,29.0,Receta,Prueba normal,0.48508,55,37,0.0,34.278,111.5,0.0001,0,0.8,0,12.463,60738,66017.0,6.5334,24.879999999999995,0.82268,0.0,35,0.19488
1,29.2,Receta,Prueba normal,0.50446,55,37,0.0,21.475,112.34,0.0001,0,0.8,0,12.448,60744,66032.0,6.5124,24.879999999999995,0.82724,0.0,35,0.19486
1,29.4,Receta,Prueba normal,0.52479,55,37,0.0,17.098,111.49,0.0001,0,0.8,0,12.406,60749,66046.0,6.4872,24.879999999999995,0.83174,0.0,35,0.19461
